PERMNO,CUSIP,Ticker,DlyCalDt,DlyPrc,DlyRetx,DlyClose
14593,03783310,AAPL,20201102,108.7700,-0.000827,108.7700
14593,03783310,AAPL,20201103,110.4400,0.015353,110.4400
14593,03783310,AAPL,20201104,114.9500,0.040837,114.9500
14593,03783310,AAPL,20201105,119.0300,0.035494,119.0300
14593,03783310,AAPL,20201106,118.6900,-0.002856,118.6900
14593,03783310,AAPL,20201109,116.3200,-0.019968,116.3200
14593,03783310,AAPL,20201110,115.9700,-0.003009,115.9700
14593,03783310,AAPL,20201111,119.4900,0.030353,119.4900
14593,03783310,AAPL,20201112,119.2100,-0.002343,119.2100
14593,03783310,AAPL,20201113,119.2600,0.000419,119.2600
14593,03783310,AAPL,20201116,120.3000,0.008720,120.3000
14593,03783310,AAPL,20201117,119.3900,-0.007564,119.3900
14593,03783310,AAPL,20201118,118.0300,-0.011391,118.0300
14593,03783310,AAPL,20201119,118.6400,0.005168,118.6400
14593,03783310,AAPL,20201120,117.3400,-0.010958,117.3400
14593,03783310,AAPL,20201123,113.8500,-0.029743,113.8500
14593,03783310,AAPL,20201124,115.1700,0.011594,115.1700
14593,03783310,AAPL,20201125,116.0300,0.007467,116.0300
14593,03783310,AAPL,20201127,116.5900,0.004826,116.5900
14593,03783310,AAPL,20201130,119.0500,0.021100,119.0500
14593,03783310,AAPL,20201201,122.7200,0.030827,122.7200
14593,03783310,AAPL,20201202,123.0800,0.002934,123.0800
14593,03783310,AAPL,20201203,122.9400,-0.001137,122.9400
14593,03783310,AAPL,20201204,122.2500,-0.005612,122.2500
14593,03783310,AAPL,20201207,123.7500,0.012270,123.7500
14593,03783310,AAPL,20201208,124.3800,0.005091,124.3800
14593,03783310,AAPL,20201209,121.7800,-0.020904,121.7800
14593,03783310,AAPL,20201210,123.2400,0.011989,123.2400
14593,03783310,AAPL,20201211,122.4100,-0.006735,122.4100
14593,03783310,AAPL,20201214,121.7800,-0.005147,121.7800
14593,03783310,AAPL,20201215,127.8800,0.050090,127.8800
14593,03783310,AAPL,20201216,127.8100,-0.000547,127.8100
14593,03783310,AAPL,20201217,128.7000,0.006963,128.7000
14593,03783310,AAPL,20201218,126.6550,-0.015890,126.6550
14593,03783310,AAPL,20201221,128.2300,0.012435,128.2300
14593,03783310,AAPL,20201222,131.8800,0.028464,131.8800
14593,03783310,AAPL,20201223,130.9600,-0.006976,130.9600
14593,03783310,AAPL,20201224,131.9700,0.007712,131.9700
14593,03783310,AAPL,20201228,136.6900,0.035766,136.6900
14593,03783310,AAPL,20201229,134.8700,-0.013315,134.8700
14593,03783310,AAPL,20201230,133.7200,-0.008527,133.7200
14593,03783310,AAPL,20201231,132.6900,-0.007703,132.6900
14593,03783310,AAPL,20210104,129.4100,-0.024719,129.4100
14593,03783310,AAPL,20210105,131.0100,0.012364,131.0100
14593,03783310,AAPL,20210106,126.6000,-0.033662,126.6000
14593,03783310,AAPL,20210107,130.9200,0.034123,130.9200
14593,03783310,AAPL,20210108,132.0500,0.008631,132.0500
14593,03783310,AAPL,20210111,128.9800,-0.023249,128.9800
14593,03783310,AAPL,20210112,128.8000,-0.001396,128.8000
14593,03783310,AAPL,20210113,130.8900,0.016227,130.8900
14593,03783310,AAPL,20210114,128.9100,-0.015127,128.9100
14593,03783310,AAPL,20210115,127.1400,-0.013731,127.1400
14593,03783310,AAPL,20210119,127.8300,0.005427,127.8300
14593,03783310,AAPL,20210120,132.0300,0.032856,132.0300
14593,03783310,AAPL,20210121,136.8700,0.036658,136.8700
14593,03783310,AAPL,20210122,139.0700,0.016074,139.0700
14593,03783310,AAPL,20210125,142.9200,0.027684,142.9200
14593,03783310,AAPL,20210126,143.1600,0.001679,143.1600
14593,03783310,AAPL,20210127,142.0600,-0.007684,142.0600
14593,03783310,AAPL,20210128,137.0900,-0.034985,137.0900
14593,03783310,AAPL,20210129,131.9600,-0.037421,131.9600
14593,03783310,AAPL,20210201,134.1400,0.016520,134.1400
14593,03783310,AAPL,20210202,134.9900,0.006337,134.9900
14593,03783310,AAPL,20210203,133.9400,-0.007778,133.9400
14593,03783310,AAPL,20210204,137.3900,0.025758,137.3900
14593,03783310,AAPL,20210205,136.7600,-0.004585,136.7600
14593,03783310,AAPL,20210208,136.9100,0.001097,136.9100
14593,03783310,AAPL,20210209,136.0100,-0.006574,136.0100
14593,03783310,AAPL,20210210,135.3900,-0.004558,135.3900
14593,03783310,AAPL,20210211,135.1300,-0.001920,135.1300
14593,03783310,AAPL,20210212,135.3700,0.001776,135.3700
14593,03783310,AAPL,20210216,133.1900,-0.016104,133.1900
14593,03783310,AAPL,20210217,130.8400,-0.017644,130.8400
14593,03783310,AAPL,20210218,129.7100,-0.008637,129.7100
14593,03783310,AAPL,20210219,129.8700,0.001234,129.8700
